Heat_of_Formation_kJperMolH2,Entropy_of_Formation_JperMolH2perK,Material_Class_A2B,Material_Class_AB,Material_Class_AB2,Material_Class_AB2(C14),Material_Class_AB2(C15),Material_Class_AB5,Material_Class_MIC,Material_Class_Mg,Material_Class_SS
-0.39623865110246437,-0.06763124286356896,False,False,False,True,False,False,False,False,False
0.583009079118028,0.9818289915562063,False,False,False,False,False,True,False,False,False
2.9954604409857315,1.3879084616129804,False,False,False,False,False,False,False,True,False
-0.195201037613489,-0.6863270585575573,False,False,False,False,False,True,False,False,False
1.2704280155642016,1.2534117507128373,False,False,True,False,False,False,False,False,False
0.4079118028534369,-0.4253738044381628,False,False,False,True,False,False,False,False,False
-0.1562905317769133,0.1903099713939854,False,False,True,False,False,False,False,False,False
-0.24708171206225688,-0.5540419814584392,False,False,True,False,False,False,False,False,False
0.1614785992217895,0.2499861395073874,False,False,False,True,False,False,False,False,False
-0.3767833981841764,-1.2070685568140387,False,False,False,False,False,False,True,False,False
-0.42866407263294426,-1.1068585092597167,False,False,False,False,False,True,False,False,False
6.497405966277559,0.14078445459259079,True,False,False,False,False,False,False,False,False
-0.609597924773022,0.2930119340751426,False,False,False,False,True,False,False,False,False
1.1147859922178982,0.05004904277434034,False,False,False,False,False,False,True,False,False
0.07717250324254198,-0.08696867862435807,False,False,False,True,False,False,False,False,False
-0.04604409857328149,-0.2706743183518519,False,False,False,True,False,False,False,False,False
2.7360570687418924,1.0011163192976207,False,False,False,False,False,False,False,True,False
-0.27950713359273677,0.23209901142865752,False,False,False,True,False,False,False,False,False
2.4118028534370937,0.6923436673575395,False,False,True,False,False,False,False,False,False
0.8099870298313872,0.40341610792451177,False,False,False,False,False,True,False,False,False
1.1277561608300903,0.7638585388070902,False,False,False,False,False,False,False,False,True
0.5181582360570682,-1.0507768492547775,False,False,False,False,False,False,False,False,True
-0.04604409857328149,-2.2310196173250945,False,False,False,False,False,False,False,True,False
1.7438391699092082,1.6308074476150631,False,False,False,False,False,False,True,False,False
0.4273670557717246,0.2659395240100381,False,False,False,True,False,False,False,False,False
0.29118028534370904,0.08289907205972073,False,False,True,False,False,False,False,False,False
-0.7756160830090789,-0.41328790708766977,False,False,False,True,False,False,False,False,False
-1.044747081712062,-0.6603236489317472,False,False,False,True,False,False,False,False,False
0.291828793774319,0.08803511501078115,False,False,False,True,False,False,False,False,False
-1.149805447470817,0.5656697783022653,False,False,False,True,False,False,False,False,False
2.4118028534370937,1.0444155641897461,False,False,False,False,False,False,False,True,False
-0.35732814526588846,-0.5365640600626985,False,False,False,True,False,False,False,False,False
0.3625162127107649,0.4830911584879947,False,False,False,False,False,False,True,False,False
0.1614785992217895,0.11522840466323402,False,False,False,False,False,False,True,False,False
0.5959792477302202,-0.2527929687962335,False,False,True,False,False,False,False,False,False
2.282101167315174,0.788311859809938,False,False,False,False,False,False,False,True,False
0.5635538261997403,0.12249312083785359,False,False,False,False,False,True,False,False,False
-0.4027237354085602,-0.2803430362322465,False,False,False,False,True,False,False,False,False
-0.000648508430609699,-0.3625271382155992,False,False,False,True,False,False,False,False,False
1.8216601815823596,-0.06179043054497474,False,False,True,False,False,False,False,False,False
0.04474708171206209,0.09699004142899734,False,False,True,False,False,False,False,False,False
-0.20168612191958507,0.3481236259933908,False,False,False,True,False,False,False,False,False
1.5025940337224375,1.8032656669927507,False,False,False,False,False,False,False,False,True
-0.9604409857328143,-4.120269338432361,False,False,True,False,False,False,False,False,False
-0.07198443579766554,0.4689825994983211,False,False,False,True,False,False,False,False,False
-0.22114137483787305,-0.7589445713117705,False,False,False,True,False,False,False,False,False
-0.43968871595330733,0.05612834600547904,False,False,False,True,False,False,False,False,False
1.1874189364461731,-0.6806279564805755,False,False,False,True,False,False,False,False,False
0.3949416342412448,0.5552826425992949,False,False,False,False,False,True,False,False,False
0.40142671854734086,0.17277761423340524,False,False,False,False,False,False,True,False,False
0.14202334630350175,-0.1836558574283023,False,False,False,True,False,False,False,False,False
0.997405966277561,0.6546219828018941,False,False,False,True,False,False,False,False,False
-0.506485084306096,0.05806208958155823,False,False,False,False,True,False,False,False,False
