Hydrogen_Weight_Percent,Heat_of_Formation_kJperMolH2,Entropy_of_Formation_JperMolH2perK,Material_Class_A2B,Material_Class_AB,Material_Class_AB2,Material_Class_AB5,Material_Class_MIC,Material_Class_Mg,Material_Class_SS
2.25,1.287187039764359,-0.051097495232762656,False,False,False,False,False,True,False
-0.4999999999999999,0.2739322533136961,0.8060790305683765,False,False,False,True,False,False,False
-0.6249999999999998,0.10898379970544884,-0.03423170221133124,False,False,False,True,False,False,False
0.2500000000000002,0.23858615611192913,0.38579408809867616,False,False,True,False,False,False,False
-0.24999999999999994,-0.6332842415316646,-0.41989267685423537,False,False,False,True,False,False,False
-0.0874999999999998,-0.49189985272459524,0.15014504374376145,False,False,False,True,False,False,False
0.1250000000000001,1.8527245949926354,-0.9013426226393222,False,False,False,False,False,False,True
0.5000000000000001,-0.22680412371134068,-0.07938945789794151,False,False,False,False,True,False,False
0.0,-0.1148748159057439,0.07917353626281817,False,False,False,True,False,False,False
0.0,0.6332842415316637,0.7590983943213067,False,False,False,False,True,False,False
0.7500000000000001,-0.6097201767304863,-0.3430024624785196,False,False,False,False,True,False,False
2.0,2.111929307805596,0.678168659129611,False,False,False,False,False,True,False
0.8750000000000002,-0.62739322533137,-0.7210376932876434,False,False,True,False,False,False,False
-0.3749999999999998,0.06185567010309261,0.19500875279540922,False,False,False,True,False,False,False
-0.3749999999999998,0.3446244477172309,-0.7622720626963185,False,False,False,True,False,False,False
0.2500000000000002,-0.5390279823269517,-0.4877697626431451,False,False,True,False,False,False,False
-0.4999999999999999,0.645066273932253,-0.34779867540046155,False,False,False,False,True,False,False
-0.6249999999999998,1.9469808541973488,-0.9876988342217574,False,True,False,False,False,False,False
1.7499999999999998,1.5817378497790864,0.5078780757623135,False,False,False,False,False,True,False
0.1250000000000001,-0.8217967599410901,-0.02926909485369765,False,False,False,True,False,False,False
0.0,0.3740795287187036,1.020279558131651,False,False,False,True,False,False,False
-0.4999999999999999,-0.032400589101620275,0.08272657949787417,False,False,False,True,False,False,False
0.625,-0.33284241531664244,-0.09498581030454943,False,False,True,False,False,False,False
-0.4999999999999999,-0.18556701030927866,-0.9658902458345513,False,False,True,False,False,False,False
-0.24999999999999994,1.1516936671575844,1.4544791750229205,False,False,False,True,False,False,False
2.3749999999999996,1.7113402061855667,0.28900764630945414,True,False,False,False,False,False,False
1.5000000000000002,-0.415316642120766,-2.0857597946584936,False,False,False,False,False,True,False
2.9999999999999996,1.6995581737849774,0.4961910714896572,False,False,False,False,False,True,False
0.0,0.6273932253313691,0.514246164088807,False,True,False,False,False,False,False
2.5,2.818851251840942,1.5294412779263686,False,False,False,False,False,True,False
-0.8749999999999999,-1.7290132547864507,-3.3139203592495896,False,False,True,False,False,False,False
0.0,-0.24447717231222418,-0.34298639229116556,False,False,True,False,False,False,False
-1.6249999999999998,-1.1281296023564067,-2.4528034678429242,False,False,False,False,False,False,True
0.0,0.13254786450662695,0.7769077854953919,False,False,False,True,False,False,False
0.1125000000000001,0.19145802650957247,0.1766237773929185,False,False,False,True,False,False,False
0.0,0.0029455081001471075,0.43438181115426633,False,False,False,True,False,False,False
-0.3749999999999998,-0.7805596465390283,-1.166705874525487,False,False,False,True,False,False,False
-0.7499999999999998,-0.09720176730486041,-0.83853766911532,False,False,False,True,False,False,False
0.2500000000000002,-0.3033873343151697,-0.8143566911363219,False,False,True,False,False,False,False
-0.6249999999999998,0.3151693667157581,0.6648281164113862,False,False,False,True,False,False,False
0.0,0.8276877761413841,1.3145047643892596,False,False,True,False,False,False,False
-0.24999999999999994,-0.00883652430044216,-0.0301768316523338,False,False,False,False,True,False,False
-0.12499999999999983,-0.39764359351988254,-0.3868750641131944,False,False,True,False,False,False,False
0.0,-0.6215022091310753,-0.9303129675301828,False,False,True,False,False,False,False
