Temperature_oC
250.0
60.0
20.0
50.0
23.0
30.0
311.0
20.0
22.0
75.0
-10.0
330.0
25.0
22.0
250.0
23.0
150.0
300.0
330.0
23.0
25.0
30.0
20.0
50.0
27.0
300.0
300.0
341.0
40.0
327.0
25.0
23.0
25.0
22.0
25.0
20.0
23.0
40.0
150.0
20.0
70.0
100.0
30.0
45.0
25.0
23.0
10.0
79.0
50.0
0.0
100.0
40.0
150.0
50.0
25.0
80.0
115.0
22.0
35.0
150.0
40.0
25.0
50.0
50.0
50.0
150.0
330.0
100.0
50.0
340.0
25.0
315.0
20.0
35.0
300.0
-10.0
200.0
40.0
150.0
25.0
40.0
50.0
60.0
426.0
20.0
20.0
25.0
30.0
60.0
30.0
20.0
35.0
30.0
25.0
25.0
25.0
110.0
600.0
35.0
40.0
50.0
20.0
50.0
25.0
50.0
20.0
300.0
50.0
30.0
100.0
81.0
50.0
23.0
0.0
80.0
22.0
20.0
24.0
20.0
77.0
80.0
30.0
120.0
327.0
23.0
35.0
30.0
20.0
22.0
50.0
25.0
20.0
30.0
50.0
312.0
100.0
30.0
22.0
-40.0
50.0
40.0
20.0
22.0
246.0
22.0
0.0
250.0
0.0
25.0
20.0
60.0
299.0
25.0
30.0
100.0
20.0
150.0
20.0
20.0
50.0
20.0
20.0
70.0
50.0
375.0
25.0
100.0
50.0
150.0
35.0
300.0
20.0
50.0
23.0
25.0
0.0
-10.0
250.0
60.0
27.0
25.0
200.0
301.0
20.0
20.0
330.0
20.0
20.0
60.0
50.0
50.0
80.0
20.0
100.0
25.0
0.0
300.0
100.0
20.0
25.0
20.0
35.0
20.0
295.0
30.0
20.0
500.0
20.0
23.0
22.0
50.0
323.0
50.0
20.0
301.0
20.0
30.0
20.0
50.0
308.0
23.0
20.0
800.0
0.0
20.0
80.0
20.0
20.0
20.0
17.0
0.0
48.0
311.0
25.0
20.0
30.0
20.0
100.0
-40.0
31.0
30.0
170.0
20.0
295.0
30.0
50.0
30.0
216.0
20.0
27.0
-32.0
-78.0
0.0
50.0
24.0
398.0
20.0
25.0
100.0
500.0
20.0
23.0
30.0
302.0
30.0
100.0
