Material_Class,Composition_Formula,Hydrogen_Weight_Percent,Heat_of_Formation_kJperMolH2,Temperature_oC,Pressure_Atmospheres_Absolute,Entropy_of_Formation_JperMolH2perK,LnEquilibrium_Pressure_25C,HtoM
AB2(C14),(Ti0.1Zr0.9)(Cr0.35Fe0.65)2,1.535179921452101,32.05,,,106.27,-0.14748211,1.01
AB2(C14),(Ti0.1Zr0.9)(Cr0.3Fe0.7)2,1.442505814286985,29.79,,,104.18,0.512826576,0.95
AB2(C14),(Ti0.1Zr0.9)(Cr0.45Fe0.55)2,1.5711814900139731,34.73,,,105.02,-1.378930168,1.03
AB2(C14),(Ti0.1Zr0.9)(Cr0.4Fe0.6)2,1.5531485579298614,32.43,,,104.18,-0.552144166,1.02
AB2(C14),(Ti0.1Zr0.9)(Cr0.5Fe0.5)2,1.574238101634035,36.02,,,105.02,-1.899313599,1.03
AB2(C14),(Ti0.1Zr0.9)(Cr0.5Mn0.5)2,1.8226782426008563,37.7,,,92.91,-4.03352969,1.19
AB2(C14),(Ti0.1Zr0.9)(V0.15Fe0.85)1.92,1.681864000503894,28.5,,,103.9,0.999533534,1.12
AB2(C14),(Ti0.21Zr0.79)(Mn0.5Fe0.5)2.02,1.4534068011598098,33.0,,,111.4,0.086290868,0.94
AB2(C14),(Ti0.25Zr0.75)(Mn0.55Fe0.45)2,1.55785969885062,30.2,,,98.45,-0.341731563,1.0
AB2(C14),(Ti0.2Zr0.8)(Al0.08Fe0.92)2,1.5232357162355366,20.4,,,112.0,5.241269643,0.97
AB2(C14),(Ti0.2Zr0.8)(Al0.15Fe0.85)2,1.0798809086056291,16.8,,,118.0,7.41514117,0.67
AB2(C14),(Ti0.2Zr0.8)(Cr0.08Mn0.42Fe0.5)2,1.4219060647027413,31.51,,,97.91,-0.935130437,0.92
AB2(C14),(Ti0.2Zr0.8)(Cr0.12Mn0.38Fe0.5)2,1.4236186229098482,33.39,,,111.71,-0.033749689,0.92
AB2(C14),(Ti0.2Zr0.8)(Cr0.25Mn0.25Fe0.5)2,1.4138977625013394,30.71,,,103.93,0.111632129,0.91
AB2(C14),(Ti0.2Zr0.8)(Cr0.38Mn0.12Fe0.5)2,1.4809473214506332,32.76,,,103.85,-0.724955637,0.95
AB2(C14),(Ti0.2Zr0.8)(Cr0.3Fe0.7)2,1.6425508285474837,26.89,,,100.45,1.234062077,1.06
AB2(C14),(Ti0.2Zr0.8)(Cr0.4Fe0.6)2,1.403635738047342,30.67,,,102.09,-0.093534484,0.9
AB2(C14),(Ti0.2Zr0.8)(Cr0.56Mn0.44)2.25,1.7487091699546269,20.53,,,41.42,-3.300048639,1.1
AB2(C14),(Ti0.2Zr0.8)(Cr0.5Fe0.5)2,1.517174710399776,31.0,,,93.3,-1.283856518,0.97
AB2(C14),(Ti0.2Zr0.8)(Mn)2,1.850777543525824,47.2,,,115.9,-5.100731828,1.2
AB2(C14),(Ti0.2Zr0.8)(Mn0.5Fe0.5)2,1.3880845100407349,29.62,,,101.25,0.229004007,0.9
AB2(C14),(Ti0.36Zr0.64)(Al0.01V0.15Cr0.07Mn0.2Ni0.57Sn0.01)1.98,1.5449431886680425,25.77,,,80.0,-0.77371738,0.98
AB2(C14),(Ti0.36Zr0.64)(Al0.01V0.15Cr0.11Mn0.12Ni0.48Co0.12Sn0.01)1.98,1.4346247807241976,32.0,,,104.0,-0.400332183,0.91
AB2(C14),(Ti0.37Zr0.63)(Al0.01V0.15Cr0.05Mn0.06Ni0.6Co0.12Sn0.01)1.89,1.285349531988077,27.0,,,90.0,-0.067165768,0.82
AB2(C14),(Ti0.37Zr0.63)(Al0.01V0.15Cr0.06Mn0.06Ni0.6Co0.12Sn0.01)1.81,1.1440785629949646,28.0,,,87.0,-0.831383125,0.73
AB2(C14),(Ti0.37Zr0.63)(Al0.01V0.15Cr0.08Mn0.08Ni0.61Co0.07Sn0.01)1.8,1.2856836089290855,26.0,,,77.0,-1.227318271,0.82
AB2(C14),(Ti0.37Zr0.63)(Al0.01V0.15Cr0.08Mn0.08Ni0.61Co0.08Sn0.01)1.98,1.13807554482989,22.0,,,75.0,0.145727531,0.72
AB2(C14),(Ti0.37Zr0.63)(Al0.01V0.15Cr0.09Mn0.07Ni0.61Co0.07Sn0.01)1.88,1.3051945334844814,24.0,,,75.0,-0.661068486,0.83
AB2(C14),(Ti0.37Zr0.63)(Al0.01V0.15Cr0.13Mn0.08Ni0.61Co0.02Sn0.01)1.8,1.3056577716232758,29.0,,,77.0,-2.437512296,0.83
AB2(C14),(Ti0.37Zr0.63)(Al0.01V0.15Cr0.13Mn0.09Ni0.61Co0.02Sn0.01)1.88,1.434970988665205,28.0,,,81.0,-1.553021822,0.91
AB2(C14),(Ti0.37Zr0.63)(Al0.01V0.15Cr0.13Mn0.09Ni0.61Co0.02Sn0.01)1.98,1.3929989392762598,24.0,,,77.0,-0.420522254,0.88
AB2(C14),(Ti0.37Zr0.63)(Al0.01V0.15Cr0.13Mn0.09Ni0.6Co0.02Sn0.01)2.11,1.304017752133754,23.0,,,76.0,-0.137397362,0.82
AB2(C14),(Ti0.37Zr0.63)(Al0.01V0.15Cr0.13Mn0.09Ni0.6Co0.02Sn0.01)2.2,1.1024699254876404,21.0,,,71.0,0.068033074,0.69
AB2(C14),(Ti0.39Zr0.61)(Mn0.38Fe0.62)1.86,1.5505164624727892,25.69,,,103.66,2.10421639,0.97
AB2(C14),(Ti0.3Zr0.7)(Cr0.3Fe0.7)2,1.5238113860008764,22.03,,,89.35,1.859544808,0.96
AB2(C14),(Ti0.3Zr0.7)(Cr0.5Fe0.5)2,1.7092439073211618,29.7,,,97.5,-0.25429202,1.07
AB2(C14),(Ti0.3Zr0.7)(Cr0.5Mn0.5)2,1.874974696643621,33.64,,,93.65,-2.30673167,1.17
AB2(C14),(Ti0.3Zr0.7)(Mn)2,1.892632072835306,29.346,,,80.26,-2.184997648,1.2
AB2(C14),(Ti0.3Zr0.7)(Mn)2,1.582184215013536,32.5,,,96.3,-1.528134182,1.0
AB2(C14),(Ti0.3Zr0.7)(Mn0.71Fe0.29)2.8,1.0259699790057406,13.5,,,53.2,0.952656669,0.63
AB2(C14),(Ti0.3Zr0.7)(V0.15Fe0.85)1.92,1.5276428667984616,26.1,,,102.8,1.835388326,0.97
AB2(C14),(Ti0.3Zr0.7)(V0.1Fe0.9)1.92,1.5083321872351747,23.5,,,105.9,3.257069808,0.96
AB2(C14),(Ti0.3Zr0.7)(V0.25Fe0.75)1.92,1.6443562800759066,33.1,,,103.8,-0.868124616,1.04
AB2(C14),(Ti0.41Zr0.59)(Mn0.44Fe0.56)1.88,1.575802993588497,26.91,,,104.26,1.684234689,0.98
AB2(C14),(Ti0.45Zr0.55)(V0.18Mn0.54Ni0.28)2.48,1.6035016623377654,28.3,,,107.9,1.561305601,0.97
AB2(C14),(Ti0.45Zr0.55)(V0.22Mn0.35Ni0.42)2,2.006634910897765,32.8,,,112.0,0.239134339,1.24
AB2(C14),(Ti0.45Zr0.55)(V0.22Mn0.44Ni0.34)2.05,2.017337134111404,32.3,,,108.6,0.031904748,1.24
AB2(C14),(Ti0.45Zr0.55)(V0.24Mn0.38Ni0.38)1.86,1.8615511752018723,35.6,,,108.1,-1.359445237,1.15
AB2(C14),(Ti0.45Zr0.55)(V0.25Mn0.29Ni0.46)1.83,1.8230656555000544,36.4,,,113.3,-1.05674344,1.13
AB2(C14),(Ti0.45Zr0.55)(V0.26Mn0.16Ni0.58)1.73,1.856660411811542,36.9,,,104.4,-2.328873178,1.16
AB2(C14),(Ti0.45Zr0.55)(V0.27Mn0.12Ni0.61)1.64,1.802626943575366,39.0,,,105.0,-3.103845126,1.13
AB2(C14),(Ti0.45Zr0.55)(V0.27Mn0.32Ni0.42)1.68,1.6926031746562442,54.8,,,153.0,-3.704424081,1.05
AB2(C14),(Ti0.45Zr0.55)(V0.28Mn0.2Ni0.52)1.63,1.7143002980814197,44.2,,,125.7,-2.711861264,1.07
AB2(C14),(Ti0.45Zr0.55)(V0.29Mn0.06Ni0.65)1.54,1.7948234142716737,41.7,,,109.1,-3.699899972,1.13
AB2(C14),(Ti0.45Zr0.55)(V0.29Mn0.15Ni0.56)1.53,1.9872821118900736,47.6,,,133.8,-3.109202251,1.25
AB2(C14),(Ti0.49Zr0.51)(Mn0.45Fe0.55)1.97,1.4812873514849978,24.91,,,107.43,2.872296484,0.9
AB2(C14),(Ti0.4Zr0.6)(Fe)2,1.3978196144135944,18.3,,,127.0,7.892502203,0.87
AB2(C14),(Ti0.4Zr0.6)(Mn)2,1.7779238373353798,35.94,,,102.51,-2.16892728,1.1
AB2(C14),(Ti0.4Zr0.6)(Mn)2,1.5072953859965823,34.81,,,102.62,-1.699857487,0.93
AB2(C14),(Ti0.4Zr0.6)(Mn0.34Fe0.66)1.92,1.4778631194272962,24.57,,,106.09,2.848285831,0.92
AB2(C14),(Ti0.51Zr0.49)(V0.02Mn0.5Fe0.48)1.89,1.6338872805011069,26.42,,,104.39,1.897535218,0.99
AB2(C14),(Ti0.55Zr0.45)(Cr0.42Mn0.19Fe0.27Ni0.1Cu0.01)2,1.5869147867283029,18.46,,,78.1,1.94660314,0.94
AB2(C14),(Ti0.5Zr0.5)(Al0.05Fe0.95)2,1.5029707320002554,16.0,,,117.0,7.617586461,0.9
AB2(C14),(Ti0.5Zr0.5)(Al0.2Fe0.8)2,1.1798309516574657,23.3,,,108.0,3.590322954,0.67
AB2(C14),(Ti0.5Zr0.5)(Cr0.5Fe0.5)2,1.6760783550903675,24.3,,,96.7,1.827838733,1.0
AB2(C14),(Ti0.5Zr0.5)(Cr0.5Mn0.5)2,1.9323462080643168,29.82,,,96.47,-0.42658109,1.15
AB2(C14),(Ti0.5Zr0.5)(Mn0.5Fe0.5)1.91,1.580486966646764,25.13,,,103.65,2.328916543,0.96
AB2(C14),(Ti0.5Zr0.5)(V0.15Fe0.85)1.92,1.3902623251555437,21.9,,,103.1,3.565741896,0.84
AB2(C14),(Ti0.5Zr0.5)(V0.25Cr0.25Fe0.25Ni0.25)2,1.6021443800042854,38.0,,,109.94,-2.106297923,0.96
AB2(C14),(Ti0.65Zr0.35)(Cr0.42Mn0.14Fe0.32Ni0.1Cu0.01)2,1.404027985130023,21.74,,,102.44,3.550905321,0.81
AB2(C14),(Ti0.65Zr0.35)(Cr0.4Mn0.5Fe0.1)1.86,2.092494624345383,26.0,,,96.0,1.057870937,1.21
AB2(C14),(Ti0.65Zr0.35)(Cr0.4Mn0.5Fe0.1)1.9,2.043228337427303,29.0,,,100.0,0.328769377,1.18
AB2(C14),(Ti0.65Zr0.35)(Cr0.4Mn0.5Fe0.1)1.98,2.198854671190688,28.0,,,99.0,0.611894269,1.27
AB2(C14),(Ti0.65Zr0.35)(Cr0.4Mn0.5Fe0.1)2,1.995940633840476,29.0,,,100.0,0.328769377,1.15
AB2(C14),(Ti0.6Zr0.4)(Mn)2,1.5305544662678572,25.69,,,90.79,0.556301384,0.9
AB2(C14),(Ti0.6Zr0.4)(V0.2Fe0.5Ni0.3)2,1.3009254000986288,26.8,,,112.66,2.738902646,0.77
AB2(C14),(Ti0.72Zr0.28)(Cr0.42Mn0.12Fe0.34Ni0.1Cu0.01)1.9,1.6869873422844823,19.26,,,93.66,3.495334422,0.96
AB2(C14),(Ti0.72Zr0.28)(Cr0.42Mn0.14Fe0.32Ni0.1Cu0.01)2,1.6026564629669713,24.847,,,115.33,3.847868177,0.91
AB2(C14),(Ti0.78Zr0.22)(Cr0.42Mn0.19Fe0.27Ni0.1Cu0.02)2.02,1.6093879076263238,23.989,,,108.94,3.425438455,0.9
AB2(C14),(Ti0.7Zr0.3)(Cr0.42Mn0.12Fe0.34Ni0.1Cu0.01)2.03,1.5947998278204805,23.03,,,108.96,3.814702608,0.91
AB2(C14),(Ti0.7Zr0.3)(Cr0.5Fe0.5)2,0.7118022281670702,22.87,,,106.81,3.620659089,0.4
AB2(C14),(Ti0.7Zr0.3)(V0.3Fe0.7)2,2.0944137192537777,31.1,,,116.0,1.406003418,1.2
AB2(C14),(Ti0.81Zr0.19)(V0.05Cr0.48Fe0.48)1.96,1.5998287656971009,21.38,,,103.41,3.812793527,0.88
AB2(C14),(Ti0.83Zr0.17)(Cr0.6Fe0.4)1.96,1.6127726943222505,20.49,,,102.79,4.097248422,0.88
AB2(C14),(Ti0.83Zr0.17)(V0.05Cr0.48Fe0.48)1.96,1.5182791561337974,20.38,,,102.84,4.147635859,0.83
AB2(C14),(Ti0.83Zr0.17)(V0.05Cr0.55Fe0.4)1.96,1.6498693133089066,22.67,,,104.16,3.382614933,0.9
AB2(C14),(Ti0.83Zr0.17)(V0.05Cr0.6Fe0.35)1.96,0.9071831461254544,24.42,,,106.69,2.980959402,0.49
AB2(C14),(Ti0.83Zr0.17)(V0.1Cr0.5Fe0.4)1.96,1.632873692879971,24.41,,,104.84,2.762488118,0.89
AB2(C14),(Ti0.85Zr0.15)(Cr0.42Mn0.5Fe0.07)1.82,1.5082144839095886,22.2,,,103.9,3.540940987,0.82
AB2(C14),(Ti0.85Zr0.15)(Cr0.42Mn0.5Mo0.08)1.82,1.6621061884284374,21.7,,,100.9,3.381820642,0.94
AB2(C14),(Ti0.85Zr0.15)(Cr0.45Mn0.15Fe0.29Ni0.1Cu0.02)2.02,1.6757190579811336,22.035,,,110.3,4.377249602,0.92
AB2(C14),(Ti0.85Zr0.15)(Cr0.45Mn0.5Fe0.05)1.82,1.6005307096987509,24.7,,,112.4,3.554767454,0.87
AB2(C14),(Ti0.85Zr0.15)(Cr0.45Mn0.5Mo0.05)1.82,1.7754464256699294,23.7,,,106.4,3.236526765,0.99
AB2(C14),(Ti0.85Zr0.15)(Cr0.45Mn0.5W0.05)1.82,1.3533244195833765,22.6,,,106.2,3.656209951,0.79
AB2(C14),(Ti0.85Zr0.15)(Cr0.46Mn0.5Fe0.04)1.82,1.6012566985385297,25.4,,,112.7,3.308470783,0.87
AB2(C14),(Ti0.85Zr0.15)(Cr0.47Mn0.5Fe0.02)1.82,1.60236042030726,26.7,,,115.0,3.060681539,0.87
AB2(C14),(Ti0.85Zr0.15)(Cr0.47Mn0.5Mo0.03)1.82,1.8824254176254211,26.2,,,115.2,3.286435166,1.04
AB2(C14),(Ti0.85Zr0.15)(Cr0.47Mn0.5W0.03)1.82,1.4284112093928087,24.3,,,109.2,3.331252685,0.81
AB2(C14),(Ti0.85Zr0.15)(Cr0.49Mn0.5W0.01)1.82,1.525942357806099,26.3,,,113.8,3.077713003,0.84
AB2(C14),(Ti0.85Zr0.15)(Cr0.5Mn0.5)1.82,1.80333536787174,26.6,,,112.1,2.752229303,0.98
AB2(C14),(Ti0.85Zr0.15)(Cr0.5Mn0.5)1.82,1.6947982778035342,26.6,,,112.1,2.752229303,0.92
AB2(C14),(Ti0.85Zr0.15)(Cr0.5Mn0.5)2,1.8401066913340332,25.3,,,112.1,3.276646714,1.0
AB2(C14),(Ti0.85Zr0.15)(Cr0.6Mn0.4)2,2.027646395156104,26.2,,,114.0,3.142107427,1.1
AB2(C14),(Ti0.85Zr0.15)(V0.05Cr0.48Fe0.48)1.96,1.4719838978537596,19.62,,,101.91,4.342364347,0.8
AB2(C14),(Ti0.85Zr0.15)(V0.15Cr0.1Mn0.6Fe0.03Ni0.11Cu0.01)2,1.851359057230859,26.61,,,109.68,2.457134382,1.02
AB2(C14),(Ti0.85Zr0.15)(V0.18Cr0.08Mn0.6Fe0.03Ni0.11Cu0.01)2,1.3148908673067656,21.17,,,102.63,3.803694078,0.72
AB2(C14),(Ti0.8Zr0.2)(Cr0.4Mn0.6)2,1.9871311972386487,28.87,,,112.97,1.941153435,1.1
AB2(C14),(Ti0.8Zr0.2)(Cr0.5Mn0.5)1.82,1.902986410242026,28.3,,,111.8,2.030370754,1.05
AB2(C14),(Ti0.8Zr0.2)(Cr0.5Mn0.5)2,2.1183525666001106,21.45,,,91.61,2.365332895,1.17
AB2(C14),(Ti0.8Zr0.2)(Cr0.5Mn0.5)2,1.565868459687831,21.54,,,98.63,3.17334435,0.86
AB2(C14),(Ti0.8Zr0.2)(V0.2Fe0.8)2,1.8037084296593016,17.85,,,99.25,4.736452333,1.01
AB2(C14),(Ti0.8Zr0.2)(V0.2Fe0.8)2,1.8037084296593016,19.7,,,109.9,5.271074705,1.01
AB2(C14),(Ti0.93Zr0.07)(V0.1Cr0.35Mn0.55)2,1.823475002483837,22.86,,,100.41,2.854945126,0.97
AB2(C14),(Ti0.94Zr0.06)(V0.1Cr0.35Mn0.55)2,1.828403373315666,22.36,,,99.61,2.960425637,0.97
AB2(C14),(Ti0.95Zr0.05)(Cr0.5Mn0.5)2,1.8899723715338248,20.8,,,105.0,4.237998626,1.0
AB2(C14),(Ti0.95Zr0.05)(Cr0.6Mn0.4)2,1.7478451539153104,21.9,,,108.1,4.167107477,0.92
AB2(C14),(Ti0.95Zr0.05)(V0.19Cr0.1Mn0.58Fe0.03Ni0.1Cu0.01)2.07,1.6652291941275827,25.0,,,112.3,3.421720739,0.89
AB2(C14),(Ti0.95Zr0.05)(V0.1Cr0.25Mn0.65)2,1.8451243810286064,21.18,,,97.25,3.152590733,0.98
AB2(C14),(Ti0.95Zr0.05)(V0.1Cr0.35Mn0.55)2,1.814800862003071,21.27,,,96.88,3.071783859,0.96
AB2(C14),(Ti0.95Zr0.05)(V0.1Cr0.45Mn0.45)2,1.784230323430424,21.64,,,97.34,2.977852229,0.94
AB2(C14),(Ti0.95Zr0.05)(V0.2Mn0.7Fe0.05Ni0.05)2.15,1.7747866771758758,28.11,,,112.34,2.171963858,0.95
AB2(C14),(Ti0.96Zr0.04)(V0.2Cr0.02Mn0.73Fe0.05)1.91,1.6406892382892877,25.8,,,110.0,2.822374165,0.87
AB2(C14),(Ti0.97Ce0.03)(Cr0.55Mn0.15Fe0.3)1.91,1.6405330215962786,19.27,,,112.11,5.710339435,0.87
AB2(C14),(Ti0.97Ho0.03)(Cr0.55Mn0.15Fe0.3)1.91,1.6696261234157013,19.39,,,111.29,5.563307719,0.89
AB2(C14),(Ti0.97La0.03)(Cr0.55Mn0.15Fe0.3)1.91,1.7150666273112152,16.63,,,104.17,5.820341635,0.91
AB2(C14),(Ti0.98Zr0.02)(V0.16Cr0.06Mn0.72Fe0.06)2.41,1.398699250498302,24.8,,,111.3,3.382127225,0.74
AB2(C14),(Ti0.98Zr0.02)(V0.19Cr0.02Mn0.74Fe0.04)2.11,1.5343019041930983,24.7,,,109.3,3.181920793,0.81
AB2(C14),(Ti0.98Zr0.02)(V0.21Cr0.02Mn0.72Fe0.05)2.21,1.514998425077526,24.2,,,107.1,3.119018942,0.8
AB2(C14),(Ti0.98Zr0.02)(V0.21Cr0.02Mn0.73Fe0.04)2.06,1.498817883025099,24.06,,,101.56,2.509181599,0.79
AB2(C14),(Ti0.98Zr0.02)(V0.23Cr0.02Mn0.71Fe0.04)2.28,1.608957066979553,24.3,,,109.5,3.36733462,0.85
AB2(C14),(Ti0.98Zr0.02)(V0.23Cr0.02Mn0.71Fe0.05)2.13,1.3488701405639538,24.0,,,107.8,3.283889725,0.71
AB2(C14),(Ti0.98Zr0.02)(V0.23Cr0.03Mn0.67Fe0.07)1.94,1.2958864163617645,28.7,,,117.5,2.554568313,0.68
AB2(C14),(Ti0.98Zr0.02)(V0.25Cr0.03Mn0.67Fe0.05)1.9,1.5986143714540633,27.8,,,108.5,1.835168474,0.84
AB2(C14),(Ti0.98Zr0.02)(V0.27Cr0.02Mn0.66Fe0.05)1.82,1.3189821634169538,29.9,,,110.2,1.192496954,0.69
AB2(C14),(Ti0.98Zr0.02)(V0.2Cr0.02Mn0.65Fe0.05Ni0.09)2.19,1.6372540598982948,26.3,,,111.1,2.752975589,0.87
AB2(C14),(Ti0.98Zr0.02)(V0.34Cr0.02Mn0.6Fe0.03)2.09,1.659343534480489,27.2,,,105.9,1.764497177,0.87
AB2(C14),(Ti0.99Zr0.01)(V0.52Cr0.02Mn0.43Fe0.03)1.87,1.7582192866343014,32.7,,,99.2,-1.260021747,0.91
AB2(C14),(Ti0.9Zr0.1)(Cr0.42Mn0.55Mo0.02)1.6,1.4997293473308193,24.0,,,110.0,3.548490581,0.81
AB2(C14),(Ti0.9Zr0.1)(Cr0.5Mn0.5)1.82,1.682209628264993,25.5,,,112.6,3.25610367,0.9
AB2(C14),(Ti0.9Zr0.1)(Cr0.5Mn0.5)2,1.257088698469622,22.5,,,104.9,3.5401947,0.67
AB2(C14),(Ti0.9Zr0.1)(V0.15Fe0.85)2,1.791785055922626,13.5,,,112.9,8.132961705,0.98
AB2(C14),(Ti0.9Zr0.1)(V0.1Cr0.18Mn0.7Fe0.02)2,1.9064160158517227,25.89,,,106.9,2.413221685,1.03
AB2(C14),(Ti0.9Zr0.1)(V0.1Cr0.32Mn0.4Fe0.02Ni0.15Cu0.01)2,1.6649654857298894,25.29,,,110.11,3.041337193,0.9
AB2(C14),(Ti0.9Zr0.1)(V0.1Cr0.35Mn0.55)2,1.8820358502856716,22.92,,,97.9,2.528855724,1.01
AB2(C14),(Ti0.9Zr0.1)(V0.1Fe0.75Ni0.15)2,1.795142703656177,12.08,,,119.5,9.499589444,0.99
AB2(C14),(Ti0.9Zr0.1)(V0.35Mn0.65)2,1.7348968404739646,30.0,,,99.56,-0.127548803,0.93
AB2(C14),(Zr)(Al0.4Fe0.6)2,1.0482722038598973,47.6,,,122.4,-4.480315776,0.63
AB2(C14),(Zr)(Cr)2,1.8248323778367672,45.19,,,121.34,-3.635616079,1.2
AB2(C14),(Zr)(Cr0.11Mn0.44Fe0.44)2.25,1.7787308354148788,25.6,,,75.0,-1.3065053,1.19
AB2(C14),(Zr)(Cr0.25Fe0.75)2,1.3359308826544036,32.3,,,112.97,0.557498266,0.9
AB2(C14),(Zr)(Cr0.25Fe0.75)2,1.4091034512366694,24.27,,,92.05,1.280670683,0.95
AB2(C14),(Zr)(Cr0.2Fe0.8)2,1.4793765858351693,28.4,,,100.8,0.667026675,1.0
AB2(C14),(Zr)(Cr0.36Fe0.36Co0.29)2.8,1.1391830147881117,20.02,,,88.14,2.524844334,0.74
AB2(C14),(Zr)(Cr0.36Fe0.36Cu0.29)2.8,1.1823627925165567,29.78,,,93.05,-0.821779227,0.78
AB2(C14),(Zr)(Cr0.36Fe0.36Ni0.29)2.8,1.063856543155829,20.73,,,88.29,2.256472715,0.69
AB2(C14),(Zr)(Cr0.36Fe0.64)2.8,1.2570012463678848,19.51,,,77.54,1.455682286,0.81
AB2(C14),(Zr)(Cr0.36Mn0.29Fe0.36)2.8,1.4001668564128111,29.5,,,94.8,-0.498349832,0.9
AB2(C14),(Zr)(Cr0.38Fe0.62)2.6,1.1106452610455748,29.1,,,107.6,1.202505259,0.72
AB2(C14),(Zr)(Cr0.38Fe0.62)2.6,1.8374702508994665,25.2,,,92.2,0.923551502,1.2
AB2(C14),(Zr)(Cr0.3Fe0.7)2,1.5434510696977046,26.92,,,89.43,-0.103449604,1.04
AB2(C14),(Zr)(Cr0.3Fe0.7)2,1.4849690966865423,28.5,,,94.7,-0.106979135,1.0
AB2(C14),(Zr)(Cr0.3Fe0.7)2,1.4849690966865423,29.8,,,100.3,0.042132905,1.0
AB2(C14),(Zr)(Cr0.42Fe0.58)2.4,1.9430266472781648,20.0,,,65.6,-0.178043745,1.28
AB2(C14),(Zr)(Cr0.4Fe0.6)2,1.5199629994455397,32.97,,,99.16,-1.373750134,1.02
AB2(C14),(Zr)(Cr0.4Fe0.6)2,1.490604051025898,36.2,,,103.3,-2.178795,1.0
AB2(C14),(Zr)(Cr0.4Fe0.6)2.5,1.7409173300665413,22.7,,,80.3,0.50079644,1.14
AB2(C14),(Zr)(Cr0.5Co0.5)2,1.5752989829879105,40.17,,,121.34,-1.610558077,1.07
AB2(C14),(Zr)(Cr0.5Fe0.5)2,1.6875160854832805,49.37,,,133.89,-3.812392146,1.13
AB2(C14),(Zr)(Cr0.5Fe0.5)2,1.4962819338625084,39.4,,,103.6,-3.433586692,1.0
AB2(C14),(Zr)(Cr0.5Fe0.5)2,1.6434510611168234,36.1,,,99.0,-2.655629599,1.1
AB2(C14),(Zr)(Cr0.5Mn0.5)2,1.9011296469761103,37.21,,,82.12,-5.133611589,1.27
AB2(C14),(Zr)(Cr0.71Co0.29)2.8,1.3096558919768484,45.3,,,118.9,-3.973456263,0.84
AB2(C14),(Zr)(Cr0.71Fe0.29)2.8,1.5712329839654409,46.5,,,130.7,-3.038311102,1.0
AB2(C14),(Zr)(Cr0.71Ni0.29)2.8,1.816258347362776,37.9,,,101.2,-3.117145158,1.17
AB2(C14),(Zr)(Fe0.5Mo0.5)2,1.216890399438774,40.74,,,127.08,-1.150127255,0.99
AB2(C14),(Zr)(Fe0.9Mo0.1)2,1.6634448371455195,25.9,,,112.5,3.082717155,1.18
AB2(C14),(Zr)(Mn)2,1.7723868030641925,53.14,,,121.34,-6.842630245,1.2
AB2(C14),(Zr)(Mn)2,1.7723868030641925,40.4,,,121.34,-1.703339619,1.2
AB2(C14),(Zr)(Mn)2.5,1.8184292343563917,18.0,,,51.5,-1.067098667,1.2
AB2(C14),(Zr)(Mn)2.7,1.3059838056459,33.6,,,100.6,-1.454697592,0.85
AB2(C14),(Zr)(Mn)2.8,1.4631369416793505,32.9,,,91.3,-2.290858967,0.95
AB2(C14),(Zr)(Mn)3.8,1.1951182402948826,17.0,,,51.0,-0.723837216,0.75
AB2(C14),(Zr)(Mn0.2Fe0.8)2,0.9170890810901616,26.7,,,109.6,2.411206711,0.62
AB2(C14),(Zr)(Mn0.3Fe0.7)2,1.3705650981293531,24.5,,,98.3,1.939596117,0.93
AB2(C14),(Zr)(Mn0.48Fe0.52)2.33,1.159402680074486,18.3,,,51.7,-1.164063446,0.77
AB2(C14),(Zr)(Mn0.48Fe0.52)2.33,1.27832026974795,29.4,,,104.9,0.756748443,0.85
AB2(C14),(Zr)(Mn0.52Fe0.48)2.36,1.236001575965159,31.0,,,106.0,0.243612057,0.82
AB2(C14),(Zr)(Mn0.55Fe0.45)2.8,1.3808478880480588,9.4,,,43.3,1.415884653,0.9
AB2(C14),(Zr)(Mn0.5Co0.5)2,1.495863777908722,34.73,,,108.78,-0.926703251,1.03
AB2(C14),(Zr)(Mn0.5Fe0.35Co0.15)2,1.2070959320473398,23.73,,,87.22,0.917586456,0.82
AB2(C14),(Zr)(Mn0.5Fe0.5)2,1.43120096016535,30.12,,,89.54,-1.381093188,0.97
AB2(C14),(Zr)(Mn0.5Fe0.5)2,1.474812097338575,36.9,,,109.3,-1.739534909,1.0
AB2(C14),(Zr)(Mn0.62Fe0.37)3.2,0.7514307129341707,6.8,,,32.8,1.201851754,0.48
AB2(C14),(Zr)(Mn0.6Co0.4)2,1.501626449514462,35.98,,,105.44,-1.832662969,1.03
AB2(C14),(Zr)(Mn0.6Fe0.4)2,1.5778159518504573,33.05,,,96.23,-1.758422205,1.07
AB2(C14),(Zr)(Mn0.71Co0.29)2.8,0.8412878006528655,23.8,,,84.0,0.502069161,0.55
AB2(C14),(Zr)(Mn0.71Co0.29)2.8,0.9170671303584436,18.5,,,50.0,-1.449207345,0.6
AB2(C14),(Zr)(Mn0.71Cu0.29)2.8,1.3788166630055652,35.9,,,83.4,-4.45121061,0.92
AB2(C14),(Zr)(Mn0.71Cu0.29)2.8,1.3788166630055652,31.6,,,83.4,-2.716599174,0.92
AB2(C14),(Zr)(Mn0.71Cu0.29)2.8,1.4083687899501989,27.0,,,61.2,-3.531031515,0.94
AB2(C14),(Zr)(Mn0.71Fe0.29)2.79,1.1700213781799496,29.3,,,107.6,1.121825657,0.76
AB2(C14),(Zr)(Mn0.71Fe0.29)2.8,1.7304412717611743,25.0,,,83.0,-0.102281565,1.13
