Material_Class,Composition_Formula,Hydrogen_Weight_Percent,Heat_of_Formation_kJperMolH2,Temperature_oC,Pressure_Atmospheres_Absolute,Entropy_of_Formation_JperMolH2perK,LnEquilibrium_Pressure_25C,HtoM
MIC,ErFe3,0.8,42.9,150.0,1.15,102.54449149031858,-4.9725791336774,0.6696308563748079
MIC,ErNi3,1.5,23.8,-40.0,1.2,103.59605628835796,2.859034226187078,1.2967548948513417
MIC,Gd2Co7,0.9,40.0,100.0,6.0,122.0924709060105,-1.4515222142384705,0.727812580085852
MIC,Gd3(AlNi3)2,1.0,33.6,300.0,5.6,72.94675242999641,-4.78078417495617,0.7997302363461454
MIC,GdCo3,1.4,45.0,150.0,3.0,115.4793048829308,-4.263983245652756,1.1763634810964614
MIC,GdFe3,1.0,50.4,150.0,0.18,104.8495929677547,-7.720905426531298,0.8136549021965688
MIC,Ho2Co7,1.1,36.7,50.0,5.0,126.9506724493058,0.4640600807045353,0.9101798637526014
MIC,Ho6Fe23,0.8,51.7,0.0,0.3,138.0,-4.258115543975452,0.6273551631442342
MIC,HoCo3,1.2,36.0,100.0,6.0,111.37292112710124,-1.127194045891816,1.0294061626421824
MIC,HoFe3,1.0,44.6,150.0,0.63,101.55854009299443,-5.7769634780567936,0.8328957231040565
MIC,Ca0.5La0.5Ni3,1.6,43.5,20.0,0.6,144.14111171142036,-0.2115190721253602,1.0709927692282877
MIC,Ca1.5La0.5Mg1Ni9,1.9,35.4,20.0,0.7,117.7918392937761,-0.1131013363967005,1.0921961181934263
MIC,Ca1La1Mg1Al0.3Ni6,1.9,30.0,20.0,0.4,94.71850086751328,-0.7098724203978577,1.1643094651793362
MIC,CaLaMg(AlNi2)3,1.8,30.0,20.0,0.4,94.71850086751328,-0.7098724203978577,0.964372826653574
MIC,Ca1La1Mg1Mn0.3Ni6,1.8,32.3,20.0,1.0,110.18250042640284,0.2222437153561474,1.1183059344311277
MIC,CaLaMg(MnNi2)3,1.8,32.3,20.0,1.3,112.36383863710364,0.484607979823638,1.0914663420739987
MIC,CaLaMgNi9,1.8,33.0,20.0,2.5,120.1885433078236,1.1433508744980816,1.1085386207690815
MIC,La(MgCu)2,2.4,64.2,170.0,0.4,137.25375268883516,-9.390499077255424,1.534970091725215
MIC,Lu6Fe23,0.6,39.7,0.0,2.0,151.10432338559397,2.158952087490376,0.4820047130071068
MIC,LuCo3,1.0,32.0,20.0,5.9,123.91636961228092,1.9951318831530584,0.8812494613796696
MIC,Mg51Zn20,3.6,80.9,330.0,8.0,151.4179628769067,-14.423824067924151,1.3294158102139817
MIC,Mg6Pd,0.9,80.3,160.0,0.014,149.89549142498555,-14.36489586978804,0.3246694742478222
MIC,Nd2Co7,1.2,56.7,125.0,0.9,141.532655880313,-5.85027011945202,0.938532716674164
MIC,NdCo3,1.3,54.5,20.0,0.29,175.61976510846344,-0.8628810901530082,1.0487379095402936
MIC,Pr2Co7,1.1,54.6,150.0,2.0,134.79519393409322,-5.81346873441604,0.8512758860472249
MIC,PrCo3,1.3,54.2,100.0,0.02,112.72471822543338,-8.306669686525282,1.0378456780909762
MIC,SmCo3,0.6,59.4,69.0,0.2,160.22694393283453,-4.690989465944655,0.4897833204584651
MIC,Tb2Co7,1.1,40.4,50.0,2.0,130.78227673295325,-0.5677047104993005,0.8954555796076061
MIC,TbCo3,1.4,46.9,75.0,0.6,130.46496394672792,-3.2280362739982413,1.18226326557922
MIC,TbFe3,1.1,48.0,150.0,0.23,101.21583245108027,-7.189777873334532,0.9005468511764328
MIC,ThAlNi,0.9,47.0,40.0,0.007,108.8342479963457,-5.870049446208477,0.9541618573110372
MIC,Ti3Al,2.9,47.0,50.0,0.8,143.58804162313015,-1.6899761968534357,1.2635511222782108
MIC,Y2Co7,1.3,38.0,20.0,0.25,118.10059935073154,-1.1248311665832489,0.8570938118155064
MIC,Y4.3Sc0.7Si2.6Ge0.4,0.5,39.4,426.0,1.5,59.72524569586402,-8.710803080690287,0.3214501284946558
MIC,Y5Si3,0.4,53.3,398.0,0.3,69.40590655813183,-13.153846277217024,0.263347910491171
MIC,YCo3,1.5,44.0,75.0,0.45,119.74338652801497,-3.347703188972975,1.0035405902525982
MIC,Zr2Ni5,0.5,35.0,60.0,0.8,103.202530814528,-1.7064918290942663,0.3389360350505361
MIC,Zr3V3O,1.2,152.0,700.0,0.1,137.0497450532133,-44.83445084682977,0.7616842587237325
MIC,Zr7Ni10,1.4,47.0,60.0,0.25,129.55172093681765,-3.3782191912816786,1.0154433308144082
MIC,Ca1.03La0.65Mg1.32Ni9,,26.8,10.0,2.0,100.41241494427248,1.2658856409691313,
MIC,Ca1.5Y0.5Mg1Ni9,2.0,25.8,-10.0,2.0,103.80587715781576,2.0774504243974725,1.108674017722168
MIC,CaNi3,2.0,35.0,20.0,0.4,111.7746154846035,-0.6754693684851413,1.0940951976028508
MIC,CaMgTiNi9,1.9,33.4,20.0,1.1,114.72726963137444,0.3251225665812684,1.0255470170002534
MIC,Ce2Co7,0.9,43.3,100.0,0.9,115.16314227719188,-3.6162129380103374,0.6935078053673538
SS,Co0.05Pd0.95,0.6,38.2,81.0,0.6,103.61681402035786,-2.9475757902198407,0.6230577497724442
SS,Cr0.05Pd0.95,0.6,29.6,30.0,0.26,86.44164714059995,-1.5440213888071836,0.6209806757209927
SS,Ni0.025Pd0.95Rh0.025,0.7,32.6,50.0,0.32,91.40850556947296,-2.1568543734985504,0.7352787044030434
SS,Ni0.05Pd0.95,,31.6,50.0,1.4,100.58488890412384,-0.6497386484647356,
SS,Pd0.95Pt0.05,0.6,33.0,30.0,0.17,94.1246705594542,-1.99152695840954,0.66382341669062
SS,Pd0.95Rh0.05,0.7,34.2,30.0,0.13,95.8527175385472,-2.2677753128761347,0.7430085249524447
SS,Sb0.05Pd0.95,0.5,34.6,100.0,0.07,70.61459481816034,-5.46469869313132,0.5343533141899977
SS,Sc0.05Pd0.95,0.5,37.4,50.0,0.04,88.97348103361803,-4.386100100254733,0.5152089594799394
SS,Pd0.96Pt0.04,0.5,37.4,80.0,0.4,98.28581996095096,-3.266042265501641,0.5482100981095955
SS,Pd0.972Ir0.028,0.5,30.7,25.0,0.1,83.82424597050999,-2.302585092994045,0.5425057629416926
SS,Mo0.025Pd0.975,0.5,30.8,30.0,0.16,86.36349438206324,-2.037513572460797,0.5292234984446039
SS,Pd0.975Rh0.025,0.7,36.0,30.0,0.056,94.78833079359528,-3.12193462440444,0.7436229824046099
SS,V0.02Pd0.98,0.5,30.8,25.0,0.1,84.15964761397805,-2.302585092994045,0.5249981554598389
SS,Co0.1Pd0.9,0.5,29.8,80.0,4.0,95.90927822365089,-0.4859675560485342,0.5068563028435831
SS,Ni0.05Pd0.9Rh0.05,0.6,28.4,30.0,0.7,90.71754302166664,-0.5456383169073895,0.6219336555044553
SS,Pd0.9Rh0.1,0.6,29.2,30.0,0.58,91.79300448038974,-0.7390134603249399,0.6351714453386988
SS,Ti0.23Mn0.36V0.41,2.8,34.0,40.0,4.0,120.10003747442484,0.7292954940225238,1.476712425697302
SS,Ti0.3034Mn0.26V0.4366,,52.7,25.0,0.03,147.60258620663993,-3.5065578973199822,
SS,Ti0.296Mn0.1V0.504Fe0.1,,44.7,25.0,0.03,120.7704547291957,-3.5065578973199822,
SS,Ti0.138Mn0.08V0.782,,50.6,25.0,0.06,146.32208756338792,-2.813410716760036,
SS,Ti0.1045V0.8455Fe0.05,3.3,42.9,40.0,4.5,149.50018892048965,0.6750994144681263,1.722064088891762
SS,Ti0.172Mn0.14V0.688,,48.6,25.0,0.04,136.2429533162634,-3.218875824868201,
SS,Ti0.176Mn0.08V0.704Fe0.04,,48.5,25.0,0.08,141.67048754237243,-2.525728644308255,
SS,Ti0.095V0.855Fe0.05,3.7,43.2,80.0,9.3,140.86831711837627,-0.4841371039238774,1.939932366097183
SS,Nb0.95Cr0.05,0.9,47.2,77.0,0.26,123.5995872039394,-4.174804512757289,0.8186253603863342
SS,Nb0.97Cr0.03,0.9,47.2,77.0,0.45,128.16045174876555,-3.626238561008453,0.8259971133054634
SS,Cu0.2Ni0.8,,5.1,25.0,3800.0,85.63707067339983,8.242756345714477,
SS,Pd0.75Rh0.25,0.8,25.4,0.0,5.0,106.37032277782502,2.5472576765659123,0.8443850406426011
SS,Ag0.3Pd0.7,0.3,46.0,50.0,0.002,90.67951459542884,-7.650231538737178,0.3189761546544394
SS,Ni0.1Pd0.825Rh0.075,0.7,21.4,30.0,6.3,85.89473841359334,1.6981617396816675,0.7090169554940136
SS,Pd0.85Rh0.15,0.7,31.0,50.0,2.7,104.18873551349932,0.0257664110588804,0.7405506951437841
SS,Pd0.88Pt0.06Rh0.06,0.5,24.8,0.0,0.3,80.78258346905798,-0.2883062629688917,0.5559990926856504
SS,Pd0.8Rh0.2,0.8,28.4,30.0,4.8,106.72471736835598,1.3796525449451873,0.8457909306195598
SS,Pd0.9Pt0.1,0.3,30.7,80.0,3.0,96.06593587398648,-0.8301944515020464,0.3441467258919616
SS,Co0.09Pd0.91,,27.2,20.0,4.0,104.31113525612504,1.5734469635250663,
SS,Ni0.09Pd0.91,,29.4,50.0,6.8,106.91702070974478,0.9993719785894402,
SS,Pd0.925Rh0.075,0.7,32.4,30.0,0.3,96.86776194876444,-1.419550736867644,0.7423940675002797
SS,Pd0.927Ir0.073,0.1,17.0,25.0,0.6,52.77119393230439,-0.5108256237659909,0.111900770810493
SS,Pd0.92Pt0.08,0.4,30.7,80.0,1.8,91.81885041672184,-1.3410200752680372,0.4522579205711736
SS,Pd0.942Ir0.058,0.4,25.9,25.0,0.35,78.14063759342592,-1.0498221244986785,0.4438238111174857
SS,Ti0.048Pd0.952,0.4,27.2,100.0,2.3,79.81787737721615,-1.3725224218221326,0.4127998342576656
SS,Bi0.05Pd0.95,0.4,37.8,100.0,0.16,86.06337174063657,-4.897482654624173,0.4444285873653344
SS,V0.855Cr0.145,2.3,29.7,50.0,50.0,124.43296404221005,2.9851096102682533,1.1932905141671133
SS,Ti0.2V0.8,3.4,60.0,110.0,1.8,161.48358496246277,-4.781890882573819,1.7572714351441063
SS,Zr0.975Nb0.025,2.2,219.0,800.0,0.2,190.69100141597443,-65.41113752804844,2.0367259358668486
,V75Ti17.5Zr7.5,3.2,52.98,,,145.1,-3.851405525,1.7520874327692513
,LaNi4.7Sn0.3,1.5,36.51,,,112.6,-1.137689446,1.1340178319635807
,V75Ti10Zr7.5Cr7.5,3.2,42.23,,,132.3,-1.068273019,1.7622436212777124
,LaNi4.8Sn0.2,1.3,32.83,,,104.3,-0.656233272,0.967753626174662
,LaNi4.8Al0.2,1.3,30.4,,,101.6,-0.00385447,0.9278007065328102
,V0.85Ti0.1Fe0.05,3.4,42.9,,,148.0,0.550692966,1.7765676349042034
,TiFe0.9Mn0.1,,29.7,,,107.7,1.01132614,
,La0.85Ce0.15Ni5,,24.3,,,92.28,1.328028186,
,V92.5Zr7.5,3.0,40.32,,,147.0,1.467862953,1.6557034701767306
,La0.2Y0.8Ni4.6Mn0.4,1.3,27.1,,,105.0,1.732063987,0.8512310526259362
,Zr0.7Ti0.3Mn2,1.4,21.0,,,85.0,1.779366417,0.8831651923221395
,Ti0.9Zr0.1Mn1.4Cr0.35V0.2Fe0.05,,25.89,,,106.9,2.447149733,
,La0.4Ce0.4Ca0.2Ni5,,28.2,,,115.3,2.528614944,
,Ti0.8Zr0.2CrMn,,24.6,,,108.6,3.170348631,
,Zr0.8Ti0.2FeNi0.8V0.2,2.5,26.8,,,118.3,3.452408926,1.6580231651064985
,Ti0.77Zr0.3Cr0.85Fe0.7Mn0.25Ni0.2Cu0.03,,19.26,,,93.66,3.520657898,
,TiCr1.9Mo0.01,2.2,24.8,,,113.0,3.619154034,1.1320680523806512
,TiCr1.9,2.5,26.19,,,122.0,4.14272974,1.286433465959328
,ZrFe1.8Cr0.2,1.8,22.3,,,109.0,4.143317917,1.225294709533508
,(Ti0.97Zr0.03)1.1Cr1.6Mn0.4,1.55,23.4,,,115.0,4.422668969,0.8023846757680557
,TiCr1.5Mn0.25Fe0.25,,19.32,,,101.6,4.451546813,
,TiCr1.5Mn0.2Fe0.3,,18.32,,,101.0,4.781491413,
,TiCrMn,2.1,19.6,,,106.0,4.868183253,1.0980673660764952
,ZrFe1.8Ni0.2,1.7,21.5,,,119.7,5.751993347,1.1637058028817948
,Ti0.86Mo0.14Cr1.9,2.4,17.2,,,117.0,7.156321644,1.2903258667797246
SS,NbTiVZrHf,2.2,61.8,315.0,0.17,88.0,-14.35,2.0594822929853605
SS,VTiZrNb,1.5,67.6,311.0,0.05,90.3,-16.41,1.0686294416243654
SS,NbTiV0.5ZrHf,1.8,59.1,326.0,0.25,87.4,-13.33,1.7617032376426474
SS,VTiAlCr,1.1,42.7,311.0,5.3,88.4,-6.59,0.490426317618807
SS,VTiAlTaNb,1.25,56.1,301.0,0.8,92.1,-11.55,1.0037278948161543
SS,TiVCrNb,3.0,47.1,100.0,0.2,122.0,-4.33,1.8694079835542463
SS,TiVNb,3.1,67.0,220.0,,157.0,-8.14,2.0282054810228183
SS,Al0.1Ti0.3V0.3Nb0.3,2.6,48.6,62.5,,154.0,-1.08,1.5945618464603502
SS,Ti23.333V23.333Nb23.333Cr30,3.1,49.0,50.0,,154.0,-1.24,1.9148158943774312
SS,Ti21.667V21.667Nb21.667Cr35,2.8,39.0,50.0,,134.0,0.38,1.7071587985994852
SS,Ti0.65Zr0.35MnCr0.8Fe0.2,1.8,23.0,50.0,,93.0,1.91,1.0349740265250704
SS,Ti0.683Zr0.368MnCr0.8Fe0.2,2.05,26.0,50.0,,98.0,1.3,1.1838995306638658
SS,Ti0.699Zr0.376MnCr0.8Fe0.2,2.1,25.0,50.0,,92.0,0.98,1.2142747148104782
SS,Ti0.715Zr0.385MnCr0.8Fe0.2,2.2,28.0,50.0,,100.0,0.73,1.2745524228888074
SS,Ti1.125Zr0.125Cr0.85Mn1.1Mo0.05,1.5,23.0,58.0,,109.0,3.83,0.8119917326751083
AB2(C14),(Sc)(Fe)2,2.023679685141638,35.2,,,106.7,-1.366468397,1.07
AB2(C14),(Sc0.5Ti0.5)(Fe)2,1.9319017847555804,17.7,,,103.8,5.344204713,1.03
AB2(C14),(Ti)(Al0.02Cr0.98)2,2.099682788930931,22.8,,,112.0,4.273114423,1.07
AB2(C14),(Ti)(Al0.03Cr0.97)1.8,1.9745356813564623,24.0,,,116.0,4.270129278,1.0
AB2(C14),(Ti)(Al0.11Cr0.89)1.8,2.104901456523118,33.4,,,90.8,-2.552694529,1.04
AB2(C14),(Ti)(Al0.11Cr0.89)1.9,2.203118671865798,28.1,,,128.5,4.119611396,1.09
AB2(C14),(Ti)(Cr)1.9,2.3548235831257207,22.58,,,97.8,2.653983735,1.21
AB2(C14),(Ti)(Cr)1.9,2.5255521910656977,26.5,,,122.0,3.983272954,1.3
AB2(C14),(Ti)(Cr0.46Mn0.54)1.72,1.920230396961941,21.56,,,102.98,3.688464445,1.0
AB2(C14),(Ti)(Cr0.48Mn0.15Fe0.38)1.96,1.8315666708853464,18.7,,,116.4,6.456247968,0.96
AB2(C14),(Ti)(Cr0.52Mn0.15Fe0.32)1.96,1.836981042567428,19.8,,,117.1,6.096701341,0.96
AB2(C14),(Ti)(Cr0.52Mn0.15Fe0.34)1.96,1.8350844419547792,19.3,,,115.5,6.105963359,0.96
AB2(C14),(Ti)(Cr0.53Mn0.47)1.96,1.9942131665612377,22.0,,,113.3,4.752187881,1.04
AB2(C14),(Ti)(Cr0.55Mn0.15Fe0.3)1.96,1.6125630508829487,16.47,,,103.75,5.834370607,0.84
AB2(C14),(Ti)(Cr0.55Mn0.15Fe0.3)1.96,1.8010772823246552,20.2,,,117.6,5.995478695,0.94
AB2(C14),(Ti)(Cr0.5Fe0.5)2,1.8488925326130237,17.2,,,119.0,7.374055083,0.97
AB2(C14),(Ti)(Cr0.5Mn0.12Fe0.38)1.96,1.8523721631790535,19.0,,,117.9,6.51563824,0.97
AB2(C14),(Ti)(Cr0.5Mn0.15Fe0.35)1.96,1.8530046765338264,19.9,,,119.8,6.381098953,0.97
AB2(C14),(Ti)(Cr0.5Mn0.5)1.67,2.0186482754533888,25.52,,,111.29,3.090477928,1.05
AB2(C14),(Ti)(Cr0.5Mn0.5)1.82,1.6180079597432675,22.9,,,114.7,4.557512036,0.84
AB2(C14),(Ti)(Cr0.5Mn0.5)1.9,2.0122636740491724,22.8,,,114.9,4.62190646,1.05
AB2(C14),(Ti)(Cr0.5Mn0.5)2,1.671023425558657,19.6,,,106.5,4.902485911,0.87
AB2(C14),(Ti)(Cr0.62Mn0.38)2,1.924542518398288,19.9,,,106.1,4.733357262,1.0
AB2(C14),(Ti)(Cr0.6Mn0.1Fe0.3)1.82,1.7131351586257189,14.98,,,91.25,4.932019687,0.89
AB2(C14),(Ti)(Cr0.6Mn0.1Fe0.3)1.9,1.6546203237985044,17.46,,,103.51,5.406141031,0.86
AB2(C14),(Ti)(Cr0.6Mn0.1Fe0.3)1.96,1.615560106291753,16.67,,,101.51,5.484279225,0.84
AB2(C14),(Ti)(Cr0.6Mn0.1Fe0.3)2,1.3873024956172717,13.7,,,94.14,5.795958444,0.72
AB2(C14),(Ti)(Cr0.6Mn0.4)1.54,1.8969624858069392,25.1,,,108.37,2.908707592,0.98
AB2(C14),(Ti)(Cr0.6Mn0.4)1.67,1.9311563926675448,25.94,,,117.99,3.726880643,1.0
AB2(C14),(Ti)(Cr0.6Mn0.4)1.82,1.813715388021139,25.1,,,114.64,3.66282003,0.94
AB2(C14),(Ti)(Cr0.75Mn0.25)2,2.9289337065571344,21.4,,,108.6,4.42894304,1.53
AB2(C14),(Ti)(Cr0.85Ni0.15)2,1.908417805565364,21.7,,,106.7,4.079404716,0.99
AB2(C14),(Ti)(Cr0.89Mn0.11)1.8,1.9099650269247177,28.0,,,129.0,4.220087755,0.98
AB2(C14),(Ti)(Cr0.95Mn0.05)1.67,1.782444396799599,20.08,,,100.42,3.97759432,0.91
AB2(C14),(Ti)(Cr0.99Mo0.01)1.91,1.9430717668928372,24.8,,,113.0,3.586591522,1.0
AB2(C14),(Ti)(Fe)2,,14.0,,,134.5,10.52916201,
AB2(C14),(Ti)(Mn)1.5,1.598808176476601,23.6,,,94.0,1.785479925,0.84
AB2(C14),(Ti)(Mn)2,1.8808721272223872,24.6,,,114.1,3.799571552,1.0
AB2(C14),(Ti)(V0.02Cr0.5Mn0.42Fe0.05)2,1.823463728249183,20.6,,,107.0,4.55922446,0.95
AB2(C14),(Ti)(V0.05Cr0.5Mn0.35Fe0.1)2,1.8621001321860904,20.6,,,107.0,4.55922446,0.97
AB2(C14),(Ti)(V0.05Cr0.5Mn0.35Fe0.1)2,1.7866844505914563,19.6,,,101.2,4.265038395,0.93
AB2(C14),(Ti)(V0.08Cr0.5Mn0.28Fe0.15)2,1.6363414948067705,20.9,,,106.0,4.317931942,0.85
AB2(C14),(Ti)(V0.1Cr0.2Fe0.7)2,1.7034733583329968,14.0,,,114.0,8.063563129,0.9
AB2(C14),(Ti)(V0.1Cr0.5Mn0.2Fe0.2)2,1.921246591383563,22.0,,,109.0,4.235013481,1.0
AB2(C14),(Ti)(V0.26Cr0.07Mn0.67)2.92,1.1073874809741155,27.73,,,103.97,1.318569119,0.58
AB2(C14),(Ti)(V0.26Mn0.68Nb0.06)2.84,1.5252450575794936,23.68,,,104.48,3.013670342,0.83
AB2(C14),(Ti)(V0.27Mn0.67Mo0.06)2.92,1.1588064747580131,19.81,,,93.58,3.263843668,0.63
AB2(C14),(Ti)(V0.29Mn0.67Nb0.04)2.85,1.2495965406530911,25.71,,,109.73,2.826206245,0.67
AB2(C14),(Ti)(V0.32Mn0.68)3.11,1.575901322202623,25.4,,,100.28,1.814678679,0.83
AB2(C14),(Ti)(V0.34Mn0.66)3.02,1.6347511535254835,26.63,,,117.16,3.34870933,0.86
AB2(C14),(Ti)(V0.3Fe0.7)2,1.5772353780994517,21.5,,,121.0,5.87998988,0.83
AB2(C14),(Ti0.05Zr0.95)(Cr0.4Fe0.6)2,1.5808497981246468,32.55,,,101.67,-0.902437449,1.05
AB2(C14),(Ti0.15Zr0.85)(Cr0.4Fe0.6)2,1.464103484301983,30.12,,,98.74,-0.274580519,0.95
